experiment,run_id,cycle,scheme,scenario,operation,N,q,document_id,keywords,batch_update_ms,first_query_ms,migrated_updates,result_size,correct,seed
E8,0,97,SliceBF,first_after_update,insert,50000,3,8420664,14,0.4909,1.4929,336,10,1,20260711
E8,0,98,SliceBF,first_after_update,delete,50000,3,8415080,9,0.2573,1.493,356,3,1,20260711
E8,0,98,SliceBF,first_after_update,insert,50000,3,8415080,9,0.4102,1.5234,368,4,1,20260711
E8,0,99,SliceBF,first_after_update,delete,50000,3,8411912,14,0.3031,1.5779,324,24,1,20260711
E8,0,99,SliceBF,first_after_update,insert,50000,3,8411912,14,0.4821,1.551,336,25,1,20260711
E8,0,0,Ren,first_after_update,delete,50000,3,8315117,15,0.1138,0.0233,3,0,1,20260711
E8,0,0,Ren,first_after_update,insert,50000,3,8315117,15,0.1084,0.0281,3,1,1,20260711
E8,0,1,Ren,first_after_update,delete,50000,3,8352414,17,0.1223,0.403,3,2,1,20260711
E8,0,1,Ren,first_after_update,insert,50000,3,8352414,17,0.1292,0.5284,3,3,1,20260711
E8,0,2,Ren,first_after_update,delete,50000,3,8351208,14,0.1049,0.0395,3,0,1,20260711
E8,0,2,Ren,first_after_update,insert,50000,3,8351208,14,0.1588,0.0487,3,1,1,20260711
E8,0,3,Ren,first_after_update,delete,50000,3,8414166,13,0.0986,0.0261,3,0,1,20260711
E8,0,3,Ren,first_after_update,insert,50000,3,8414166,13,0.1119,0.033,3,1,1,20260711
E8,0,4,Ren,first_after_update,delete,50000,3,8405707,17,0.1392,0.0432,3,0,1,20260711
E8,0,4,Ren,first_after_update,insert,50000,3,8405707,17,0.1259,0.0463,3,1,1,20260711
E8,0,5,Ren,first_after_update,delete,50000,3,8406497,16,0.1172,1.2907,3,10,1,20260711
E8,0,5,Ren,first_after_update,insert,50000,3,8406497,16,0.1322,1.3586,3,11,1,20260711
E8,0,6,Ren,first_after_update,delete,50000,3,8407285,9,0.0885,3.432,3,84,1,20260711
E8,0,6,Ren,first_after_update,insert,50000,3,8407285,9,0.0675,3.2571,3,85,1,20260711
E8,0,7,Ren,first_after_update,delete,50000,3,8410387,12,0.0898,0.4583,3,45,1,20260711
E8,0,7,Ren,first_after_update,insert,50000,3,8410387,12,0.0906,0.2035,3,46,1,20260711
E8,0,8,Ren,first_after_update,delete,50000,3,8403866,15,0.1114,1.8626,3,387,1,20260711
E8,0,8,Ren,first_after_update,insert,50000,3,8403866,15,0.1235,1.8739,3,388,1,20260711
E8,0,9,Ren,first_after_update,delete,50000,3,8412332,9,0.083,0.6068,3,36,1,20260711
